epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.29389,3.78728,6.15106,0.60916,23.5278,3.01747,0,0,0,0,0,0,0,0,3.74551,5.10713,0.58117,19.7738,2.65588,0.0001,0.0001,0.0001
2,20.6552,3.32283,4.6079,0.60529,13.4468,2.74938,0.2816,0.53499,0.29101,0.13974,0.59331,0.54545,0.56153,0.21642,1.85674,2.36911,0.57795,2.27361,1.27955,0.000217822,0.000217822,0.000217822
3,33.4384,2.13252,2.06468,0.53101,1.90577,1.64432,0.01551,0.18182,0.00686,0.00276,0.02448,0.36364,0.02031,0.00707,2.95294,2.94894,0.3622,11.9018,1.88231,0.000333268,0.000333268,0.000333268
4,44.9638,1.62483,1.57665,0.42382,2.15564,1.28762,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000446338,0.000446338,0.000446338
5,54.2385,1.65195,1.61134,0.39387,1.15397,1.26933,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,0.000557032,0.000557032,0.000557032
6,63.5026,1.60778,0.98395,0.30602,1.21024,1.23723,0,0,0,0,0,0,0,0,nan,12,61.8303,nan,nan,0.00066535,0.00066535,0.00066535
7,74.3441,1.8019,1.38045,0.3324,1.43282,1.26892,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,0.000771292,0.000771292,0.000771292
8,83.6879,1.46134,1.03845,0.28121,1.24198,1.2202,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,0.000874858,0.000874858,0.000874858
9,93.4599,1.63336,1.09936,0.23574,1.0666,1.24501,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,0.000976048,0.000976048,0.000976048
10,105.075,1.70269,1.07747,0.20018,1.03897,1.23953,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,0.00107486,0.00107486,0.00107486
11,123.668,1.4406,0.83687,0.22269,1.17428,1.17071,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,0.0011713,0.0011713,0.0011713
12,142.184,1.36966,0.99473,0.29983,1.0928,1.17852,0.12871,0.36364,0.10033,0.04201,0.09838,0.27273,0.08793,0.07385,nan,nan,nan,nan,nan,0.00126536,0.00126536,0.00126536
13,155.841,1.4194,0.74836,0.23374,0.9326,1.13257,0.00179,0.09091,0.00127,0.00013,0.01848,0.18182,0.00762,0.00214,nan,nan,nan,nan,nan,0.00135705,0.00135705,0.00135705
14,166.401,1.33903,0.77211,0.22237,0.91878,1.13087,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,0.00144636,0.00144636,0.00144636
15,185.929,1.56667,0.89958,0.23578,1.15082,1.24369,0.88727,0.71665,0.83162,0.52324,0.92514,0.72727,0.85862,0.76087,1.28221,0.5089,0.18775,4.13572,1.18523,0.00153329,0.00153329,0.00153329
16,199.261,1.50871,0.98269,0.21136,1.03908,1.21339,0.64558,1,0.77631,0.46045,0.64558,1,0.78462,0.60815,1.36135,0.82903,0.12443,5.58671,1.21195,0.00161785,0.00161785,0.00161785
17,210.481,1.52544,0.87148,0.26735,1.00401,1.21673,0.38856,0.27273,0.22344,0.13651,0.38856,0.27273,0.25344,0.18501,1.83878,1.65926,0.25447,2.80278,1.36447,0.0016832,0.0016832,0.0016832
18,230.455,1.46359,0.76366,0.19863,1.02799,1.22168,0.90469,0.54545,0.58146,0.32911,0.90469,0.54545,0.58101,0.49678,1.61378,1.96946,0.29016,2.29066,1.20782,0.0016634,0.0016634,0.0016634
19,248.928,1.28271,0.59972,0.2197,0.96766,1.10139,1,0.63279,0.81718,0.51216,1,0.63279,0.82148,0.66719,1.49449,1.07293,0.21117,2.1236,1.15846,0.0016436,0.0016436,0.0016436
20,269.92,1.28975,0.81824,0.20815,0.97243,1.11855,0.92801,0.63636,0.72899,0.47316,0.98036,0.81818,0.92039,0.63662,1.54324,1.5551,0.19674,4.07101,1.21918,0.0016238,0.0016238,0.0016238
21,281.632,1.38075,0.76314,0.19285,0.94454,1.18542,0.70571,0.72727,0.77523,0.46808,0.6663,0.81818,0.81669,0.68536,1.38745,0.93345,0.20067,3.01371,1.22713,0.001604,0.001604,0.001604
22,302.199,1.32906,0.67339,0.19167,0.89813,1.12099,0.92092,0.81818,0.88507,0.56835,0.92092,0.81818,0.89221,0.76384,1.26857,0.96744,0.19536,1.46427,1.08791,0.0015842,0.0015842,0.0015842
23,317.956,1.27531,0.62426,0.26022,0.88615,1.11193,1,0.88114,0.98115,0.68522,1,0.88114,0.98115,0.86453,1.17079,0.5104,0.18137,1.13697,1.0424,0.0015644,0.0015644,0.0015644
24,332.739,1.26649,0.58802,0.17436,0.84685,1.11151,0.83632,1,0.96479,0.62417,0.83632,1,0.97297,0.91251,1.27766,0.4706,0.14207,1.03555,1.09352,0.0015446,0.0015446,0.0015446
25,347.011,1.24846,0.59325,0.21768,0.91159,1.09571,0.68086,1,0.92064,0.63847,0.99905,0.81818,0.947,0.90319,1.23956,0.46175,0.13606,0.87907,1.12968,0.0015248,0.0015248,0.0015248
26,358.089,1.26856,0.5424,0.185,0.81455,1.10848,0.87326,0.72727,0.8627,0.57757,0.97243,0.81818,0.96071,0.90239,1.33509,0.39729,0.15297,1.06022,1.15935,0.001505,0.001505,0.001505
27,368.882,1.24854,0.46949,0.17412,0.81431,1.07101,0.89771,0.79948,0.84304,0.51713,1,0.88843,0.97571,0.95232,1.47948,0.36248,0.14256,1.10816,1.18637,0.0014852,0.0014852,0.0014852
28,387.994,1.17433,0.3588,0.14748,0.7338,1.03674,0.77024,1,0.91143,0.60747,0.89918,1,0.9875,0.94199,1.31306,0.33055,0.13224,0.98645,1.1642,0.0014654,0.0014654,0.0014654
29,398.488,1.24462,0.41314,0.15751,0.80496,1.11359,0.89093,0.81818,0.87129,0.59617,0.99635,0.90909,0.9875,0.87548,1.29649,0.41124,0.11568,0.95344,1.12558,0.0014456,0.0014456,0.0014456
30,419.542,1.35785,0.53669,0.21631,0.8111,1.18925,0.7738,1,0.87921,0.56492,0.98506,0.90909,0.97571,0.89272,1.40589,0.34292,0.11139,0.9678,1.15923,0.0014258,0.0014258,0.0014258
31,435.523,1.14853,0.41773,0.18171,0.76433,1.05488,0.86919,0.90909,0.95935,0.67962,1,0.87673,0.97571,0.9236,1.21254,0.28686,0.10479,0.8814,1.04477,0.001406,0.001406,0.001406
32,458.099,1.22158,0.45778,0.22139,0.77841,1.08672,0.88687,0.90909,0.95935,0.65448,1,0.89266,0.97571,0.96849,1.27917,0.24296,0.11104,0.79437,1.05871,0.0013862,0.0013862,0.0013862
33,470.447,1.26448,0.57473,0.20659,0.74609,1.05787,0.88466,0.90909,0.96282,0.67491,0.88466,0.90909,0.96753,0.94787,1.2242,0.27774,0.10954,0.75947,1.04823,0.0013664,0.0013664,0.0013664
34,490.558,1.1736,0.36057,0.11914,0.71685,1.07926,1,0.80891,0.956,0.59098,1,0.80891,0.96071,0.95674,1.29764,0.2591,0.10378,0.78727,1.07472,0.0013466,0.0013466,0.0013466
35,511.274,1.2747,0.44954,0.14001,0.73413,1.04562,0.89439,0.90909,0.95935,0.66192,0.89439,0.90909,0.96753,0.96392,1.23145,0.23489,0.10724,0.80827,1.06543,0.0013268,0.0013268,0.0013268
36,527.448,1.22787,0.39038,0.19045,0.72015,1.06702,0.90998,1,0.98,0.64088,0.90998,1,0.9875,0.98235,1.11595,0.21858,0.09638,0.77538,1.00908,0.001307,0.001307,0.001307
37,546.036,1.23104,0.28032,0.17992,0.65159,1.05355,0.91087,1,0.9725,0.6641,0.91087,1,0.9875,0.96011,1.15495,0.25001,0.09112,0.75323,1.01159,0.0012872,0.0012872,0.0012872
